task	modality	subject	thr_kvox	thr_tokens	pos_kvox	pos_tokens	brain_kvox	brain_tokens	label_kvox	thr_label_kept	pos_label_kept	brain_label_kept	brain_outside_pos	pos_dropped
task1	flair	sub-16	1577.2700	4096	1772.8020	4255	1570.5910	4009					0.0009	0.1149
task1	flair	sub-17	1548.2830	3852	1648.4320	3990	1533.4050	3772	20.6120	0.9957	0.9967	0.9962	0.0019	0.0716
task1	flair	sub-18	1255.2240	3166	1326.2740	3301	1240.6270	3121	0.3930	1.0000	1.0000	1.0000	0.0034	0.0678
task1	flair	sub-19	1242.1550	3184	1318.5550	3309	1231.0330	3092	9.5950	0.9693	0.9761	0.9789	0.0037	0.0698
task1	flair	sub-20	1352.4650	3480	1461.2030	3601	1351.8750	3373	0.6860	1.0000	1.0000	1.0000	0.0019	0.0766
task1	flair	sub-21	1536.3150	3841	1637.2310	3936	1504.2530	3756					0.0019	0.0830
task2	dwi_b1000	sub-01	2000.4110	6914	5840.9560	13155	1389.7910	3456	3.7740	0.9987	1.0000	0.9669	0.0000	0.7621
task2	dwi_b1000	sub-02	1841.4240	5286	7117.4210	15458	1339.2110	3420	13.0020	0.9966	1.0000	0.2070	0.0000	0.8118
task2	dwi_b1000	sub-03	1643.7120	5138	7063.7730	15050	1021.6880	2660	1.1950	1.0000	1.0000	1.0000	0.0000	0.8554
task2	dwi_b1000	sub-04	1760.6580	5161	7040.5420	15241	1309.9260	3320	17.2730	0.9459	1.0000	0.0000	0.0000	0.8139
task2	dwi_b1000	sub-05	1647.5370	4271	6923.9700	14878	1428.4310	3580	8.4950	1.0000	1.0000	0.9078	0.0000	0.7937
task2	dwi_b1000	sub-06	4045.8040	12507	6325.6800	14085	981.0200	2652	0.2940	1.0000	1.0000	0.2823	0.0000	0.8449
task2	dwi_b1000	sub-07	2729.3760	7847	7063.4280	15671	1045.2860	2765	0.5760	1.0000	1.0000	0.8993	0.0000	0.8520
task2	dwi_b1000	sub-08	2410.2870	6761	6502.9200	14396	1047.3900	2791	0.9060	0.9823	1.0000	0.1247	0.0000	0.8389
task2	dwi_b1000	sub-09	2507.1480	7115	7408.7350	15768	1269.8700	3302	0.4570	1.0000	1.0000	0.0000	0.0000	0.8286
