subject	port_kvox	reference_kvox	dice_port_reference	dice_stored_reference	port_extra	port_missed
sub-01_ses-01_T1w	1640.2780	1574.5750	0.9677	0.9729	0.0539	0.0121
sub-02_ses-01_T1w	1353.6030	1298.1650	0.9656	0.9706	0.0565	0.0138
sub-03_ses-01_T1w	1525.4570	1447.7210	0.9593	0.9693	0.0686	0.0149
sub-04_ses-01_T1w	1355.0650	1300.4620	0.9657	0.9691	0.0560	0.0140
sub-05_ses-01_T1w	1729.8760	1638.4680	0.9607	0.9694	0.0683	0.0125
sub-06_ses-01_T1w	1447.2250	1376.2870	0.9645	0.9725	0.0622	0.0107
sub-07_ses-01_T1w	1566.9370	1468.2450	0.9585	0.9695	0.0765	0.0093
sub-08_ses-01_T1w	1557.6600	1464.1030	0.9606	0.9703	0.0727	0.0088
